owner,repo,owner_type,created_at,pushed_at,license_spdx,default_branch,stars_now,forks,open_issues,watchers,topics_json,readme_len,has_releases
luminal-ai,luminal,Organization,2023-07-18T22:02:51Z,2025-08-27T21:02:52Z,Apache-2.0,main,2396,144,29,23,[],7948,True
rasbt,llms-from-scratch,User,2023-07-23T18:15:57Z,2025-08-28T23:36:43Z,NOASSERTION,main,67666,9538,3,608,"[""chatgpt"", ""gpt"", ""large-language-models"", ""llm"", ""python"", ""pytorch"", ""ai"", ""artificial-intelligence"", ""language-model"", ""transformer"", ""deep-learning"", ""machine-learning"", ""from-scratch""]",16619,False
brightdata,brightdata-mcp,Organization,2025-04-15T10:55:56Z,2025-08-26T12:48:36Z,MIT,main,1158,155,7,8,"[""llm"", ""mcp"", ""modelcontextprotocol"", ""scraping"", ""ai-agents"", ""ai-integrations"", ""anti-bot-detection"", ""browser-automation"", ""data-collection"", ""data-extraction"", ""mcp-server"", ""scraping-tools"", ""structured-data"", ""web-crawling"", ""web-data"", ""web-scraping""]",12424,False
automazeio,ccpm,Organization,2025-08-18T23:20:08Z,2025-08-28T15:23:43Z,MIT,main,3184,311,24,20,"[""ai-agents"", ""ai-coding"", ""claude"", ""claude-code"", ""project-management"", ""vibe-coding""]",16611,False
brianredbeard,rucat,User,2025-08-14T09:03:37Z,2025-08-20T10:09:16Z,GPL-3.0,main,10,0,4,0,[],10594,True
tintinweb,claude-code-container,User,2025-08-19T10:54:06Z,2025-08-19T19:27:31Z,,master,66,4,0,0,[],3795,False
openai,openai-reflect,Organization,2025-07-29T14:18:13Z,2025-08-19T02:28:37Z,MIT,main,154,8,1,0,[],2754,False
lemonade-sdk,lemonade,Organization,2025-05-15T19:17:39Z,2025-08-28T21:46:34Z,Apache-2.0,main,1138,83,69,11,"[""amd"", ""llama"", ""llm"", ""llm-inference"", ""llms"", ""local-server"", ""mistral"", ""npu"", ""onnxruntime"", ""qwen"", ""openai-api"", ""mcp"", ""mcp-server"", ""gpu"", ""radeon"", ""ryzen"", ""vulkan"", ""ai"", ""genai""]",13122,True
drbubble,arduinoos,User,2016-07-01T16:24:06Z,2023-08-08T17:12:08Z,NOASSERTION,master,56,2,1,5,[],14852,True
tambo-ai,tambo,Organization,2024-06-15T17:11:37Z,2025-08-28T19:52:15Z,MIT,main,627,49,44,9,"[""ai"", ""js"", ""react"", ""reactjs"", ""ui"", ""ui-components"", ""agent"", ""agents"", ""assistant"", ""assistant-chat-bots""]",8177,True
