hn_id,time_utc,title,url,resolved_url,score,descendants,is_show_hn,author
44964916,2025-08-20T18:47:03+00:00,Zedless: Zed fork focused on privacy and being local-first,https://github.com/zedless-editor/zed,https://github.com/zedless-editor/zed,555,322,False,homebrewer
44964332,2025-08-20T17:54:22+00:00,Show HN: Bizcardz.ai – Custom metal business cards,https://github.com/rhodey/bizcardz.ai,https://github.com/rhodey/bizcardz.ai,26,32,True,rhodey
44963724,2025-08-20T17:04:51+00:00,An Update on Pytype,https://github.com/google/pytype,https://github.com/google/pytype,199,66,False,mxmlnkn
44963324,2025-08-20T16:22:59+00:00,Show HN: Okapi – a metrics engine based on open data formats,https://github.com/okapi-core/okapi,https://github.com/okapi-core/okapi,14,5,True,kushal2048
44963135,2025-08-20T16:01:13+00:00,"Show HN: Luminal – Open-source, search-based GPU compiler",https://github.com/luminal-ai/luminal,https://github.com/luminal-ai/luminal,152,60,True,jafioti
44962059,2025-08-20T14:01:26+00:00,Gemma 3 270M re-implemented in pure PyTorch for local tinkering,https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/12_gemma3,https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/12_gemma3,415,57,False,ModelForge
44961890,2025-08-20T13:44:08+00:00,Show HN: Web MCP Free Tier – Web Access for Agents Without Getting Blocked,https://github.com/brightdata/brightdata-mcp,https://github.com/brightdata/brightdata-mcp,11,1,True,meirk-brd
44960594,2025-08-20T10:32:12+00:00,Show HN: Project management system for Claude Code,https://github.com/automazeio/ccpm,https://github.com/automazeio/ccpm,174,112,True,aroussi
44958543,2025-08-20T04:04:20+00:00,Show HN: Hanaco Weather – A poetic weather SNS from the OS Yamato project,https://github.com/osyamato/os-yamato,https://github.com/osyamato/os-yamato,18,8,True,tsuyoshi_k
44957291,2025-08-19T23:41:35+00:00,Show HN: Rucat – Cat for Prompt Engineers,https://github.com/brianredbeard/rucat,https://github.com/brianredbeard/rucat,10,1,True,thebeardisred
44956899,2025-08-19T22:37:56+00:00,AI tooling must be disclosed for contributions,https://github.com/ghostty-org/ghostty/pull/8289,https://github.com/ghostty-org/ghostty/pull/8289,11,3,False,robteix
44956002,2025-08-19T20:34:36+00:00,"Docker container for running Claude Code in ""dangerously skip permissions"" mode",https://github.com/tintinweb/claude-code-container,https://github.com/tintinweb/claude-code-container,32,12,False,Luc
44955576,2025-08-19T19:48:38+00:00,Show HN: OpenAI/reflect – Physical AI Assistant that illuminates your life,https://github.com/openai/openai-reflect,https://github.com/openai/openai-reflect,92,52,True,Sean-Der
44955424,2025-08-19T19:35:16+00:00,Show HN: Lemonade: Run LLMs Locally with GPU and NPU Acceleration,https://github.com/lemonade-sdk/lemonade,https://github.com/lemonade-sdk/lemonade,15,0,True,ramkrishna2910
44955159,2025-08-19T19:12:50+00:00,ArduinoOS (2017),https://github.com/DrBubble/ArduinoOS,https://github.com/DrBubble/ArduinoOS,58,5,False,dcminter
44953615,2025-08-19T16:52:34+00:00,"Show HN: Tambo Add A Cursor style assistant for React apps (OSS, self-hosted)",https://github.com/tambo-ai/tambo,https://github.com/tambo-ai/tambo,11,16,True,grouchy
44953395,2025-08-19T16:29:45+00:00,Show HN: Built a memory layer that stops AI agents from forgetting everything,https://github.com/pi22by7/In-Memoria,https://github.com/pi22by7/In-Memoria,13,0,True,pi_22by7
44952185,2025-08-19T14:48:54+00:00,"""Remove mentions of XSLT from the html spec""",https://github.com/whatwg/html/pull/11563,https://github.com/whatwg/html/pull/11563,388,534,False,troupo
44951200,2025-08-19T13:20:37+00:00,Show HN: I've made an easy to extend and flexible JavaScript logger,https://github.com/inshinrei/halua,https://github.com/inshinrei/halua,17,9,True,inshinrei
44949617,2025-08-19T08:53:23+00:00,Intel 80286 emulator for Raspberry Pico,https://github.com/xrip/pico-286,https://github.com/xrip/pico-286,31,40,False,fleeks
44946996,2025-08-19T00:35:08+00:00,OpenMower – An open source lawn mower,https://github.com/ClemensElflein/OpenMower,https://github.com/ClemensElflein/OpenMower,609,190,False,rickcarlino
44945113,2025-08-18T20:43:13+00:00,Show HN: Strix - Open-source AI hackers for your apps,https://github.com/usestrix/strix,https://github.com/usestrix/strix,102,15,True,ahmedallam2
44945008,2025-08-18T20:34:37+00:00,"Tiny-tpu: A minimal tensor processing unit (TPU), inspired by Google's TPU",https://github.com/tiny-tpu-v2/tiny-tpu,https://github.com/tiny-tpu-v2/tiny-tpu,271,17,False,admp
44944787,2025-08-18T20:13:38+00:00,A continuous stream of vintage computing artifacts from the Internet Archive,https://github.com/jgbrwn/retro-computing-stream,https://github.com/jgbrwn/retro-computing-stream,13,1,False,indigodaddy
44942731,2025-08-18T16:52:29+00:00,"Show HN: Whispering – Open-source, local-first dictation you can trust",https://github.com/epicenter-so/epicenter/tree/main/apps/whispering,https://github.com/epicenter-so/epicenter/tree/main/apps/whispering,590,151,True,braden-w
44941546,2025-08-18T15:13:39+00:00,Benchmarks for Golang SQLite Drivers,https://github.com/cvilsmeier/go-sqlite-bench,https://github.com/cvilsmeier/go-sqlite-bench,92,35,False,cvilsmeier
44941043,2025-08-18T14:29:32+00:00,Show HN: Memori – Open-Source Memory Engine for AI Agents,https://github.com/GibsonAI/memori,https://github.com/GibsonAI/memori,17,11,True,Arindam1729
44940974,2025-08-18T14:22:48+00:00,Show HN: A Minimal Hacker News Reader for Apple Watch Built with SwiftUI,https://github.com/wieslawsoltes/HackerNewsWatch,https://github.com/wieslawsoltes/HackerNewsWatch,62,20,True,wiso
44940485,2025-08-18T13:39:53+00:00,FFmpeg Assembly Language Lessons,https://github.com/FFmpeg/asm-lessons,https://github.com/FFmpeg/asm-lessons,422,158,False,flykespice
44940089,2025-08-18T12:57:28+00:00,Vibe coding tips and tricks,https://github.com/awslabs/mcp/blob/main/VIBE_CODING_TIPS_TRICKS.md,https://github.com/awslabs/mcp/blob/main/VIBE_CODING_TIPS_TRICKS.md,227,93,False,mooreds
44939874,2025-08-18T12:34:43+00:00,"Show HN: Strudel Flow, a pattern sequencer built with Strudel and React Flow",https://github.com/xyflow/strudel-flow,https://github.com/xyflow/strudel-flow,37,8,True,moklick
44939873,2025-08-18T12:34:36+00:00,Show HN: Typed-arrow – compile‑time Arrow schemas for Rust,https://github.com/tonbo-io/typed-arrow,https://github.com/tonbo-io/typed-arrow,48,8,True,ethegwo
44939642,2025-08-18T11:56:03+00:00,Universal Tool Calling Protocol (UTCP),https://github.com/universal-tool-calling-protocol/python-utcp,https://github.com/universal-tool-calling-protocol/python-utcp,75,66,False,edweis
44938718,2025-08-18T09:11:16+00:00,Fast and observable background job processing for .NET,https://github.com/mikasjp/BusyBee,https://github.com/mikasjp/BusyBee,82,25,False,mikasjp
44938667,2025-08-18T09:00:53+00:00,Rails Charts Using ECharts from Apache,https://github.com/railsjazz/rails_charts,https://github.com/railsjazz/rails_charts,87,6,False,amalinovic
44937978,2025-08-18T06:35:02+00:00,"EloqKV, a distributed database with Redis compatible API (GPLv2 and AGPLv3)",https://github.com/eloqdata/eloqkv,https://github.com/eloqdata/eloqkv,54,45,False,cloudsql
44937346,2025-08-18T04:13:56+00:00,IMDB Terminal Browser,https://github.com/isene/IMDB,https://github.com/isene/IMDB,21,15,False,thunderbong
44936333,2025-08-18T00:55:35+00:00,Mangle – a language for deductive database programming,https://github.com/google/mangle,https://github.com/google/mangle,103,19,False,simonpure
44935821,2025-08-17T23:24:13+00:00,SQLite-HTTP-cache: SQLite Extension to cache HTTP requests,https://github.com/walterwanderley/sqlite-http-cache,https://github.com/walterwanderley/sqlite-http-cache,10,0,False,thunderbong
44935169,2025-08-17T21:40:47+00:00,Llama-Scan: Convert PDFs to Text W Local LLMs,https://github.com/ngafar/llama-scan,https://github.com/ngafar/llama-scan,220,83,False,nawazgafar
44934988,2025-08-17T21:12:26+00:00,Show HN: A iOS Native Bluesky App,https://github.com/0xatrilla/LiquidSky,https://github.com/0xatrilla/LiquidSky,20,12,True,acxtrilla
44934518,2025-08-17T20:08:56+00:00,HN Search isn't ingesting new data since Friday,https://github.com/algolia/hn-search/issues/248,https://github.com/algolia/hn-search/issues/248,200,50,False,busymom0
44934391,2025-08-17T19:52:03+00:00,Show HN: Doxx – Terminal .docx viewer inspired by Glow,https://github.com/bgreenwell/doxx,https://github.com/bgreenwell/doxx,261,72,True,w108bmg
44933435,2025-08-17T17:50:55+00:00,iOS 18.5 Bluetooth Privacy Vulnerabilities,https://github.com/JGoyd/iOS-18.5-Bluetooth-Privacy-Vuln,https://github.com/JGoyd/iOS-18.5-Bluetooth-Privacy-Vuln,78,25,False,FluGameAce007
44932624,2025-08-17T16:10:37+00:00,MS-DOS development resources,https://github.com/SuperIlu/DOSDevelResources/blob/main/README.md,https://github.com/SuperIlu/DOSDevelResources/blob/main/README.md,126,42,False,mariuz
44931753,2025-08-17T14:21:08+00:00,Show HN: Chatbang – Access ChatGPT from the terminal without an API key,https://github.com/ahmedhosssam/chatbang,https://github.com/ahmedhosssam/chatbang,21,2,True,ahmedhosssam
44928997,2025-08-17T05:00:40+00:00,Wan – Open-source alternative to VEO 3,https://github.com/Wan-Video/Wan2.2,https://github.com/Wan-Video/Wan2.2,220,38,False,modinfo
44925853,2025-08-16T18:37:17+00:00,A Lisp in 99LOC,https://github.com/Robert-van-Engelen/tinylisp,https://github.com/Robert-van-Engelen/tinylisp,108,26,False,shikaan
44925597,2025-08-16T18:00:33+00:00,Show HN: Lue – Terminal eBook Reader with Text-to-Speech,https://github.com/superstarryeyes/lue,https://github.com/superstarryeyes/lue,99,23,True,superstarryeyes
44925333,2025-08-16T17:26:27+00:00,UWU – generate CLI commands without leaving the terminal,https://github.com/context-labs/uwu,https://github.com/context-labs/uwu,16,2,False,funfunfunction
44922859,2025-08-16T12:45:18+00:00,Show HN: Code-snippets for developing eBPF Programs,https://github.com/h0x0er/ebpf-snippets,https://github.com/h0x0er/ebpf-snippets,12,2,True,forxtrot
44922556,2025-08-16T12:10:30+00:00,PG Auto Upgrade – Docker (and K8s) container to auto upgrade your database,https://github.com/pgautoupgrade/docker-pgautoupgrade,https://github.com/pgautoupgrade/docker-pgautoupgrade,27,16,False,justinclift
